GENERATIONS_PROJECT	gen_tech	gen_load_zone	gen_connect_cost_per_mw	gen_full_load_heat_rate	proj_variable_o_m	gen_capacity_limit_mw	gen_energy_source	gen_variable_om	gen_min_build_capacity	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_max_age	gen_unit_size	proj_ccs_capture_efficiency	proj_ccs_energy_load	gen_storage_efficiency	proj_store_to_release_ratio	gen_is_variable	gen_is_baseload	gen_is_cogen
ce_otr_09	wind	40-ixtepec	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_otr_10	wind	51-la_paz	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_pie_01	wind	36-temascal	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_pie_02	wind	36-temascal	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_pie_03	wind	36-temascal	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_pp_01	wind	42-merida	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_pp_03	wind	25-san_luis_potosi	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
celulosa_de_fibras_mexicanas	combined_cycle_natural_gas	34-puebla	99048.565	15.00335915	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
cerro_prieto_fotovoltaica	solar	48-mexicali	99048.565	.	0	.	solar	0	0	0	0	25	.	.	.	.	.	1	0	0
cerro_prieto_i_u5	geothermal	48-mexicali	99048.565	.	0.06	.	geosteam	0.06	0	0.0512	0.0512	30	.	.	.	.	.	0	1	0
cerro_prieto_ii_central	geothermal	48-mexicali	99048.565	.	0.06	.	geosteam	0.06	0	0.0512	0.0512	30	.	.	.	.	.	0	1	0
cerro_prieto_iii_central	geothermal	48-mexicali	99048.565	.	0.06	.	geosteam	0.06	0	0.0512	0.0512	30	.	.	.	.	.	0	1	0
cerro_prieto_iv_central	geothermal	48-mexicali	99048.565	.	0.06	.	geosteam	0.06	0	0.0512	0.0512	30	.	.	.	.	.	0	1	0
cfe_agua_prieta_2	combined_cycle_natural_gas	03-obregon	99048.565	6.198992701	3.05	.	natural_gas	3.05	0	0.0696	0.0696	30	.	.	.	.	.	0	1	0
cfe_azufres_3	geothermal	28-carapan	99048.565	.	0.06	.	geosteam	0.06	0	0.0512	0.0512	30	.	.	.	.	.	0	1	0
cg_cfe_02	geothermal	34-puebla	99048.565	.	0.06	.	geosteam	0.06	0	0.0512	0.0512	30	.	.	.	.	.	0	1	0
cg_cfe_03	geothermal	53-mulege	99048.565	.	0.06	.	geosteam	0.06	0	0.0512	0.0512	30	.	.	.	.	.	0	1	0
cg_cfe_04	geothermal	28-carapan	99048.565	.	0.06	.	geosteam	0.06	0	0.0512	0.0512	30	.	.	.	.	.	0	1	0
cg_cfe_05	geothermal	23-guadalajara	99048.565	.	0.06	.	geosteam	0.06	0	0.0512	0.0512	30	.	.	.	.	.	0	1	0
ch_aut_27	hydroelectric	22-tepic	99048.565	.	0	.	water	0	0	0.03	0.03	50	.	.	.	.	.	0	1	0
ch_aut_28	hydroelectric	32-poza_rica	99048.565	.	0	.	water	0	0	0.03	0.03	50	.	.	.	.	.	0	1	0
ch_cfe_01	hydroelectric	39-grijalva	99048.565	.	0	.	water	0	0	0.03	0.03	50	.	.	.	.	.	0	1	0
ch_cfe_03	hydroelectric	36-temascal	99048.565	.	0	.	water	0	0	0.03	0.03	50	.	.	.	.	.	0	1	0
